plant_id,plant_name,cluster_id,cluster_name,asset_type,capacity_mw,lat,lon
SOLAR-01,Solar Plant 01,CL-BLR-SOLAR,Bengaluru Rural Solar Belt,solar,52,12.97520190725114,77.64005414349677
SOLAR-02,Solar Plant 02,CL-KLB-SOLAR,Kalyana Karnataka Solar Belt,solar,106,17.432867765966947,76.59587577736154
SOLAR-03,Solar Plant 03,CL-BLR-SOLAR,Bengaluru Rural Solar Belt,solar,87,13.115340848380074,77.51205088891876
SOLAR-04,Solar Plant 04,CL-KLB-SOLAR,Kalyana Karnataka Solar Belt,solar,123,17.317983861099485,76.72763472869117
SOLAR-05,Solar Plant 05,CL-BLR-SOLAR,Bengaluru Rural Solar Belt,solar,85,13.193335032251474,77.55792368370734
SOLAR-06,Solar Plant 06,CL-KLB-SOLAR,Kalyana Karnataka Solar Belt,solar,74,17.455268944836163,76.88610112107024
SOLAR-07,Solar Plant 07,CL-BLR-SOLAR,Bengaluru Rural Solar Belt,solar,81,13.1442500940899,77.43493408790052
SOLAR-08,Solar Plant 08,CL-KLB-SOLAR,Kalyana Karnataka Solar Belt,solar,63,17.425414036156873,76.82400889068165
SOLAR-09,Solar Plant 09,CL-BLR-SOLAR,Bengaluru Rural Solar Belt,solar,58,13.018288454671527,77.69670496064089
SOLAR-10,Solar Plant 10,CL-KLB-SOLAR,Kalyana Karnataka Solar Belt,solar,105,17.301456462151744,76.77860066134042
WIND-01,Wind Plant 01,CL-CKM-WIND,Chitradurga Wind Corridor,wind,151,14.315815653399603,76.46577993158554
WIND-02,Wind Plant 02,CL-BTM-WIND,Ballari-Tumakuru Wind Corridor,wind,83,15.254291870087277,77.02754778054143
WIND-03,Wind Plant 03,CL-CKM-WIND,Chitradurga Wind Corridor,wind,170,14.14684529705077,76.30779630876712
WIND-04,Wind Plant 04,CL-BTM-WIND,Ballari-Tumakuru Wind Corridor,wind,149,15.033520908915381,77.0608762960636
WIND-05,Wind Plant 05,CL-CKM-WIND,Chitradurga Wind Corridor,wind,155,14.199489457622123,76.24877183414675
WIND-06,Wind Plant 06,CL-BTM-WIND,Ballari-Tumakuru Wind Corridor,wind,82,15.031593381175577,77.06710670180846
WIND-07,Wind Plant 07,CL-CKM-WIND,Chitradurga Wind Corridor,wind,172,14.317767768294935,76.28020825268804
WIND-08,Wind Plant 08,CL-BTM-WIND,Ballari-Tumakuru Wind Corridor,wind,112,15.221789038152009,76.97100344564534
WIND-09,Wind Plant 09,CL-CKM-WIND,Chitradurga Wind Corridor,wind,167,14.376857180030674,76.44024719877945
WIND-10,Wind Plant 10,CL-BTM-WIND,Ballari-Tumakuru Wind Corridor,wind,94,15.302204441352941,76.962164232508
