timestamp,plant_id,cloud_cover,irradiation_wm2,temperature_c,humidity_pct,wind_speed_ms,wind_direction_deg,gust_speed_ms
2025-01-01 00:00:00,SOLAR-01,0.3228,0.0,20.34,51.61,3.21,203.61,4.66
2025-01-01 01:00:00,SOLAR-01,0.3469,0.0,18.25,49.24,3.57,246.94,4.85
2025-01-01 02:00:00,SOLAR-01,0.2873,0.0,22.31,50.24,3.13,189.22,3.25
2025-01-01 03:00:00,SOLAR-01,0.2191,5.21,20.11,50.7,2.08,271.93,2.74
2025-01-01 04:00:00,SOLAR-01,0.2418,0.0,18.7,56.04,4.59,208.16,5.9
2025-01-01 05:00:00,SOLAR-01,0.1742,0.0,19.07,56.27,6.51,208.51,7.84
2025-01-01 06:00:00,SOLAR-01,0.2481,34.62,23.34,38.53,5.07,199.63,7.01
2025-01-01 07:00:00,SOLAR-01,0.3426,170.4,26.39,43.78,3.63,191.46,4.82
2025-01-01 08:00:00,SOLAR-01,0.1584,342.86,24.5,47.91,5.59,213.19,6.98
2025-01-01 09:00:00,SOLAR-01,0.1303,529.36,25.07,58.83,5.33,179.3,6.17
2025-01-01 10:00:00,SOLAR-01,0.2175,551.8,26.47,46.53,6.55,248.14,7.62
2025-01-01 11:00:00,SOLAR-01,0.1975,584.49,26.19,55.51,5.01,216.97,7.47
2025-01-01 12:00:00,SOLAR-01,0.1722,595.42,27.07,45.01,4.85,162.28,6.5
2025-01-01 13:00:00,SOLAR-01,0.0817,664.85,28.49,42.74,5.18,221.36,7.01
2025-01-01 14:00:00,SOLAR-01,0.1708,567.14,26.79,46.78,6.73,234.9,7.46
2025-01-01 15:00:00,SOLAR-01,0.2487,443.96,29.04,58.61,3.94,226.14,3.61
2025-01-01 16:00:00,SOLAR-01,0.0817,393.92,25.35,43.23,3.66,204.58,4.11
2025-01-01 17:00:00,SOLAR-01,0.1808,147.39,27.21,49.04,5.16,215.73,6.14
2025-01-01 18:00:00,SOLAR-01,0.0716,0.0,25.67,47.85,5.71,149.64,7.89
2025-01-01 19:00:00,SOLAR-01,0.1473,25.67,23.46,53.27,5.69,182.73,7.12
2025-01-01 20:00:00,SOLAR-01,0.1169,39.92,22.57,47.37,4.37,158.44,5.28
2025-01-01 21:00:00,SOLAR-01,0.2781,0.0,21.56,56.4,3.45,181.21,4.8
2025-01-01 22:00:00,SOLAR-01,0.1979,10.44,23.94,59.22,4.93,238.51,6.53
2025-01-01 23:00:00,SOLAR-01,0.3444,46.88,19.32,57.49,3.78,253.64,5.35
